CNA,Number
Shared Node Mediation,CNA 403 3144
Shared FM Mediation,CNA 403 3010
NED and TOP Mediation,CNA 403 3354
Shared Language Transformation,CNA 403 3282
Shared NetConf Mediation,CNA 403 3169
Shared Node Discovery Mediation,CNA 403 3111
Shared SSH/TLS Mediation,CNA 403 3355
Shared FTP Mediation,CNA 403 3356
Shared SNMP Mediation ,CNA 403 3357
Shared PM Mediation,CNA 403 3009
Mediation Router Policies ,CNA 403 3358
Shared SS and RI Mediation,CNA 403 3406
Stream Termination and Parsing,CNA 403 3414
Shared NetLog Mediation,CNA 403 2827
Shared TCIM Normalization,CNA 403 3450
Shared IKEv2 Mediation,CNA 403 3548
Shared Non-transactional Node Support,CNA 403 3595
Shared CM Mediation,CNA 403 3634
New Node Introduction Software Development Kit (NNI SDK),CNA 403 3453
Shared CPP Inventory Mediation ,CNA 403 3012
Shared CPP CM Mediation,CNA 403 3119
ERBS PM Mediation,CNA 403 3121
Shared CPP FM Mediation,CNA 403 3122
CPP Security Mediation ,CNA 403 3123
Shared CPP Mediation,CNA 403 3005
Shared CPP PM Mediation,CNA 403 3359
CPP Health Check Mediation,CNA 403 3383
Shared CPP SS and RI Mediation,CNA 403 3407
RNC Mediation,CNA 403 3547
Shared CPP KPI Mediation,CNA 403 3597
Shared CPP Transport Mediation,CNA 403 3627
RadioTNode Mediation,CNA 403 3113
Shared ECIM FM Mediation ,CNA 403 3116
vPP Mediation ,CNA 403 3259
vBGF Mediation,CNA 403 3317
vEME Mediation,CNA 403 3318
HSS-FE Mediation,CNA 403 3320
vIP Works Mediation,CNA 403 3321
vUPG Mediation,CNA 403 3322
BSP Mediation,CNA 403 3325
vMRF Mediation,CNA 403 3326
SAPC Mediation,CNA 403 3284
MSRBS_V1 Mediation,CNA 403 3271
Shared ECIM CM Mediation,CNA 403 3104
Shared ECIM/COM/CBA Mediation,CNA 403 3106
Shared ECIM PM Mediation,CNA 403 3107
SGSN-MME FM Mediation,CNA 403 3108
SGSN-MME NetLog Mediation,CNA 403 3333
MTAS Mediation,CNA 403 3287
vSAPC Mediation - Not delivered ,CNA 403 3285
CSCF Mediation,CNA 403 3288
SBG Mediation ,CNA 403 3366
vRC Mediation ,CNA 403 3367
RnNode Mediation,CNA 403 3291
vWCG Mediation,CNA 403 3360
BSC Mediation,CNA 403 3279
EPG Mediation ,CNA 403 3370
RadioNode Mediation,CNA 403 3371
SGSN-MME CM Mediation,CNA 403 3372
SGSN-MME PM Mediation,CNA 403 3385
SGSN-MME Security Mediation,CNA 403 3386
DSC Mediation,CNA 403 3388
ER6000 PM Mediation,CNA 403 3369
WMG Mediation,CNA 403 3363
Shared ECIM SS and RI Mediation,CNA 403 3408
FrontHaul 6080 PM Mediation,CNA 403 3423
VTF Radio Node Mediation,CNA 403 3443
HLR-FE Mediation,CNA 403 3470
Shared ECIM NetLog Mediation,CNA 403 3473
CBRS Domain Proxy Mediation,CNA 403 3481
5G RadioNode Mediation,CNA 403 3542
