CSA,CRA,CNA,CXP,Number,RPM,TAF
Mediation Adaptions,Shared Mediation Components ,Shared Node Mediation,Node Discovery Module,CXP 903 1393,com.ericsson.oss.mediation.nodediscovery/node-discovery-module,ERICnodediscoverymodule_CXP9031393
Mediation Adaptions,Shared Mediation Components ,Shared Node Mediation,Node Discovery Handlers,CXP 903 1394,com.ericsson.oss.mediation.nodediscovery/node-discovery-handlers,ERICnodediscoveryhandlers_CXP9031394
Mediation Adaptions,Shared Mediation Components ,Shared Node Mediation,IP NE Discovery Mediation Handlers,CXP 903 2217,com.ericsson.oss.mediation.ipcm.discovery.handler/ip-ne-discovery-mediation-handlers,ERICipnediscoverymediationhandlers_CXP9032217
Mediation Adaptions,Shared Mediation Components ,Shared Node Mediation,Sync Node event,CXP 903 1195,com.ericsson.oss.mediation.cm.events/sync-node-event,ERICsyncnodeevent_CXP9031195
Mediation Adaptions,Shared Mediation Components ,Shared Node Mediation,AP mediation model ,CXP 903 2337,com.ericsson.oss.mediation.autoprovisioning/ap-mediation-model,ERICapmediationmodel_CXP9032337
Mediation Adaptions,Shared Mediation Components ,Shared Node Mediation,ap mediation handler,CXP 903 8248,com.ericsson.oss.mediation.autoprovisioning/ap-mediation-handler,ERICapmediationhandler_CXP9038248
Mediation Adaptions,Shared Mediation Components ,Shared FM Mediation,FM Mediation Event Model,CXP 903 0672,com.ericsson.oss.services.fm.models/fm-mediation-event-model,ERICfmmediationeventmodel_CXP9030672
Mediation Adaptions,Shared Mediation Components ,Shared FM Mediation,SNMP FM Engine Model,CXP 903 3143,com.ericsson.oss.mediation.fm/snmp-fm-engine-model,ERICsnmpfmenginemodel_CXP9033143
Mediation Adaptions,Shared Mediation Components ,Shared FM Mediation,SNMP FM Flow model ,CXP 903 1549,com.ericsson.oss.mediation.models.flow/snmp-fm-flow-model ,ERICsnmpfmflowmodel_CXP9031549
Mediation Adaptions,Shared Mediation Components ,Shared FM Mediation,SNMP FM Handler Model,CXP 903 1547,com.ericsson.oss.mediation.fm.handlers,ERICsnmpfmhandlermodel_CXP9031547
Mediation Adaptions,Shared Mediation Components ,Shared FM Mediation,SNMP FM Handler ,CXP 903 1546,com.ericsson.oss.mediation.fm.handlers,ERICsnmpfmhandler_CXP9031546
Mediation Adaptions,Shared Mediation Components ,Shared FM Mediation,SNMP FM Engine ,CXP 903 1544,com.ericsson.oss.mediation.fm/snmp-fm-engine ,ERICsnmpfmengine_CXP9031544
Mediation Adaptions,Shared Mediation Components ,Shared FM Mediation,SG: mssnmpfm,CXP 903 1734,com.ericsson.oss.servicegroupcontainers/mssnmpfm,ERICenmsgmssnmpfm_CXP9031734
Mediation Adaptions,Shared Mediation Components ,Shared FM Mediation,SNMP FM Handler 2 - EAP7 uplift,CXP 903 8382,OSS/com.ericsson.oss.mediation.fm.handlers/snmp-fm-handler,ERICsnmpfmhandler2_CXP9038382
Mediation Adaptions,Shared Mediation Components ,Shared FM Mediation,SNMP FM Engine 2 -EAP 7 Uplift,CXP 903 8385,OSS/com.ericsson.oss.mediation.fm/snmp-fm-engine,ERICsnmpfmengine2_CXP9038385
Mediation Adaptions,Shared Mediation Components ,NED and TOP Mediation,ned-mediation-models,CXP 903 2963,com.ericsson.oss.mediation.ned/ned-mediation-models,ERICnedmediationmodels_CXP9032963
Mediation Adaptions,Shared Mediation Components ,NED and TOP Mediation,Generic start sync event model,CXP 903 2679,com.ericsson.oss.mediation.event/generic-start-sync-event-model,ERICgenericstartsynceventmodel_CXP9032679
Mediation Adaptions,Shared Mediation Components ,NED and TOP Mediation,ned-mediation-handlers,CXP 903 2962,com.ericsson.oss.mediation.ned/ned-mediation-handlers,ERICnedmediationhandlers_CXP9032962
Mediation Adaptions,Shared Mediation Components ,NED and TOP Mediation,OSS Top Model,CXP 903 1292,com.ericsson.oss.services.model.onrm/oss-top-model,ERICosstopmodel_CXP9031292
Mediation Adaptions,Shared Mediation Components ,NED and TOP Mediation,Network Element Configuration Management Definition Model,CXP 903 1291,com.ericsson.oss.services.model.ned/cm-function-model,ERICnetworkelementcmdefmodel_CXP9031291
Mediation Adaptions,Shared Mediation Components ,NED and TOP Mediation,Network Element Definition Model,CXP 903 1290,com.ericsson.oss.services.model.ned/network-element-definition-model,ERICnetworkelementdefmodel_CXP9031290
